original_id,transcribing_count,transcribing_duration_min,submitted_count,submitted_duration_min,trashed_count,trashed_duration_min,total_segments,total_duration_min
STT_GR_0001,51,6.41,3,0.6,0,0.0,54,7.01
STT_GR_0002,325,20.64,109,15.76,2,0.44,436,36.84
STT_GR_0003,263,23.75,157,22.37,3,0.25,423,46.37
STT_GR_0004,235,11.76,68,8.63,6,2.24,309,22.63
STT_GR_0005,69,8.48,48,7.22,1,0.17,118,15.87
STT_GR_0006,84,5.81,27,2.58,7,2.41,118,10.8
STT_GR_0007,163,10.0,28,4.68,4,1.66,195,16.34
STT_GR_0008,128,10.8,50,6.53,11,3.31,189,20.64
STT_GR_0009,94,4.98,31,2.96,5,1.18,130,9.12
STT_GR_0010,323,24.38,158,18.67,9,3.33,490,46.38
STT_GR_0011,159,16.83,65,9.18,24,6.52,248,32.53
STT_GR_0012,315,20.71,116,14.93,13,3.84,444,39.48
STT_GR_0013,76,4.63,32,4.41,0,0.0,108,9.04
STT_GR_0014,132,15.95,115,14.7,5,1.5,252,32.15
STT_GR_0015,111,9.08,56,6.82,4,1.38,171,17.28
STT_GR_0016,128,13.55,84,10.05,14,3.21,226,26.81
STT_GR_0017,150,8.6,49,7.77,2,0.99,201,17.36
STT_GR_0018,36,1.6,10,1.39,3,0.21,49,3.2
STT_GR_0019,324,21.16,84,13.14,43,7.05,451,41.35
STT_GR_0020,49,6.9,51,6.2,0,0.0,100,13.1
STT_GR_0021,180,16.76,114,12.97,9,2.18,303,31.91
STT_GR_0022,328,29.24,213,26.32,11,2.01,552,57.57
STT_GR_0023,173,16.93,124,14.58,6,0.72,303,32.23
STT_GR_0024,255,24.06,83,9.9,15,3.84,353,37.8
STT_GR_0025,164,12.33,0,0.0,0,0.0,164,12.33
STT_GR_0026,181,23.38,0,0.0,0,0.0,181,23.38
STT_GR_0027,133,17.35,0,0.0,0,0.0,133,17.35
STT_GR_0028,228,25.52,0,0.0,0,0.0,228,25.52
STT_GR_0029,296,28.02,0,0.0,0,0.0,296,28.02
STT_GR_0030,134,9.15,0,0.0,0,0.0,134,9.15
STT_GR_0031,113,14.38,0,0.0,0,0.0,113,14.38
STT_GR_0032,45,3.89,3,0.17,1,0.07,49,4.13
STT_GR_0033,141,4.21,11,0.33,1,0.05,153,4.59
STT_GR_0034,2485,93.69,0,0.0,0,0.0,2485,93.69
STT_GR_0035,2257,85.65,0,0.0,0,0.0,2257,85.65
STT_GR_0036,807,35.05,0,0.0,0,0.0,807,35.05
STT_GR_0037,1781,72.91,0,0.0,0,0.0,1781,72.91
STT_GR_0038,1427,58.12,0,0.0,0,0.0,1427,58.12
